Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764600828,20,,Aggregated,2.100000,1.400000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,104,68,10000.0,6523.879741653949,1.9949590005126083,13320.683844000087,253.6346153846154
1764600829,20,,Aggregated,2.200000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,107,71,10000.0,6623.115892018785,1.9949590005126083,13320.683844000087,257.14953271028037
1764600830,20,,Aggregated,1.900000,1.200000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,110,73,10000.0,6625.490428700087,1.9949590005126083,13320.683844000087,257.4909090909091
1764600831,20,,Aggregated,1.900000,1.300000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,112,75,10000.0,6687.114873241151,1.9949590005126083,13320.683844000087,259.6607142857143
1764600832,20,,Aggregated,1.900000,1.400000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,115,75,10000.0,6512.765574852255,1.9949590005126083,13320.683844000087,254.2173913043478
1764600833,20,,Aggregated,2.300000,1.700000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,119,78,10000.0,6464.372417512678,1.9949590005126083,13320.683844000087,252.6638655462185
1764600834,20,,Aggregated,2.300000,1.800000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,122,81,10000.0,6553.551150975475,1.9949590005126083,13320.683844000087,255.7704918032787
1764600835,20,,Aggregated,2.300000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,124,81,10000.0,6447.883124645227,1.944273000844987,13320.683844000087,252.46774193548387
1764600836,20,,Aggregated,2.600000,1.800000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,127,83,10000.0,6454.057945441006,1.944273000844987,13320.683844000087,252.8740157480315
1764600837,20,,Aggregated,2.600000,1.800000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,128,84,10000.0,6482.243293953185,1.944273000844987,13320.683844000087,253.859375
1764600838,20,,Aggregated,2.600000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,130,85,10000.0,6445.886492946215,1.944273000844987,13320.683844000087,251.9
1764600839,20,,Aggregated,2.600000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,132,86,10000.0,6424.509989719749,1.944273000844987,13320.683844000087,251.3409090909091
1764600840,20,,Aggregated,2.600000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,133,87,10000.0,6451.924788812077,1.944273000844987,13320.683844000087,252.30075187969925
1764600841,20,,Aggregated,2.600000,1.700000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,136,89,10000.0,6457.554226036799,1.944273000844987,13320.683844000087,252.68382352941177
